epc,read_events,first_seen,last_seen,strongest_rssi,likely_demo_e280,recommendation
E2801191A503006B3ABB47A9,4,2026-04-28 21:49:35.761483,2026-05-14 19:03:43.010783,-62,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB6592,4,2026-04-28 21:49:34.069120,2026-05-14 19:03:43.219837,-54,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB6594,4,2026-04-28 21:49:34.069781,2026-05-14 19:03:43.212893,-52,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB6598,4,2026-04-28 21:49:34.072895,2026-05-14 19:03:43.248376,-61,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB65CB,4,2026-04-28 21:49:35.804822,2026-05-14 19:03:43.008331,-59,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB65CC,4,2026-04-28 21:49:35.754774,2026-05-14 19:03:43.032436,-55,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB67C1,4,2026-04-28 21:49:35.757037,2026-05-14 19:03:42.852138,-52,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB67CF,4,2026-04-28 21:49:35.787445,2026-05-14 19:03:43.119344,-55,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB8692,4,2026-04-28 21:49:35.760734,2026-05-14 19:03:42.952727,-55,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB869C,4,2026-04-28 21:49:34.082831,2026-05-14 19:03:43.035976,-59,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB8752,4,2026-04-28 21:49:31.800090,2026-05-15 23:18:58.704061,-71,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB88C3,4,2026-04-28 21:49:34.029114,2026-05-14 19:03:42.833860,-57,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBA5C7,4,2026-04-28 21:49:35.749893,2026-05-14 19:03:42.705662,-55,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
